split,review_fraction,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width
group_epd_source,0.2,cluster_company,company,26,median_relative_reduction_to_p25_true_high_carbon,0.32458233890214794,0.131385712597805,0.3606138107416881,0.2292280981438831
group_epd_source,0.2,cluster_company,company,26,share_true_high_carbon_with_10pct_opportunity,0.755056179775281,0.5337994535356393,0.8137124941244059,0.27991304058876665
group_epd_source,0.2,cluster_company,company,26,share_true_high_carbon_with_20pct_opportunity,0.6741573033707865,0.40929722850678735,0.7485628250376576,0.33926559653087024
group_epd_source,0.2,cluster_plant,plant,167,capture,0.8937875751503006,0.8258918415882536,0.9397229599541739,0.1138311183659203
group_epd_source,0.2,cluster_plant,plant,167,precision,0.48743169398907105,0.4062464275769079,0.5683812035951543,0.16213477601824644
group_epd_source,0.2,cluster_plant,plant,167,median_relative_reduction_to_p25_true_high_carbon,0.32458233890214794,0.2382246325154803,0.35111080145151485,0.11288616893603456
group_epd_source,0.2,cluster_plant,plant,167,share_true_high_carbon_with_10pct_opportunity,0.755056179775281,0.6502832077345009,0.7944930986742742,0.14420989093977332
group_epd_source,0.2,cluster_plant,plant,167,share_true_high_carbon_with_20pct_opportunity,0.6741573033707865,0.550945771321629,0.7247796483980978,0.1738338770764688
group_epd_source,0.2,cluster_source,source,17,capture,0.8937875751503006,0.7475398445180377,0.963940681378866,0.21640083686082834
group_epd_source,0.2,cluster_source,source,17,precision,0.48743169398907105,0.3239162815192102,0.6591946346902091,0.3352783531709989
group_epd_source,0.2,cluster_source,source,17,median_relative_reduction_to_p25_true_high_carbon,0.32458233890214794,0.1271794871794873,0.3495170589262985,0.22233757174681118
group_epd_source,0.2,cluster_source,source,17,share_true_high_carbon_with_10pct_opportunity,0.755056179775281,0.5275279734769995,0.7958760864316755,0.268348112954676
group_epd_source,0.2,cluster_source,source,17,share_true_high_carbon_with_20pct_opportunity,0.6741573033707865,0.4253797522534662,0.7204558845190749,0.29507613226560875
group_epd_source,0.2,block_issue_quarter,issue_block,20,capture,0.8937875751503006,0.8024934441861852,0.9551573372506572,0.15266389306447203
group_epd_source,0.2,block_issue_quarter,issue_block,20,precision,0.48743169398907105,0.3711012322332703,0.5846761571226614,0.21357492488939112
group_epd_source,0.2,block_issue_quarter,issue_block,20,median_relative_reduction_to_p25_true_high_carbon,0.32458233890214794,0.13074243085570797,0.3326890330020023,0.20194660214629434
group_epd_source,0.2,block_issue_quarter,issue_block,20,share_true_high_carbon_with_10pct_opportunity,0.755056179775281,0.5290008960573477,0.7888908872901679,0.2598899912328202
group_epd_source,0.2,block_issue_quarter,issue_block,20,share_true_high_carbon_with_20pct_opportunity,0.6741573033707865,0.4350105874192253,0.718132901513969,0.2831223140947437
