row_index,y_true,model_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
40064,0,0.3636636304291755,0.08432859071554678,National Ready Mix,Vernon Plant,CA,Pacific Southwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,123.0,strict_group,89.0,92.0,80.53333333333333,31.0,0.25203252032520324,42.46666666666667,0.3452574525745258,True,True,True
11543,0,0.3628384666273893,0.08432859071554678,CEMEX,Oldsmar Plant,FL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,121.6,strict_group,212.0,92.7,82.88,28.89999999999999,0.23766447368421048,38.72,0.31842105263157894,True,True,True
33938,1,0.3621350937092457,0.08432859071554678,Knife River Corporation,Tumalo (Oregon) Plant,OR,Pacific Northwest Region,paving,4000.0,4000,28.0,standard_28,149.75,strict_group,74.0,64.4375,54.825,85.3125,0.5696994991652755,94.925,0.6338898163606009,True,True,True
33558,0,0.3618885567323996,0.08432859071554678,Knife River Corporation,Corvallis (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,121.66666666666667,strict_group,395.0,71.0,64.13333333333334,50.66666666666667,0.41643835616438357,57.53333333333333,0.4728767123287671,True,True,True
43214,1,0.3609305946115293,0.08432859071554678,Silvi Materials,Philadelphia Plant,PA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,132.33333333333334,strict_group,295.0,91.33333333333333,79.06666666666668,41.000000000000014,0.3098236775818641,53.266666666666666,0.4025188916876574,True,True,True
11603,0,0.359404870250134,0.08432859071554678,CEMEX,Orange City Plant,FL,Southeastern Region,other_or_unspecified,2500.0,2500,28.0,standard_28,98.4,strict_group,212.0,92.7,82.88,5.700000000000003,0.05792682926829271,15.52000000000001,0.15772357723577246,True,False,False
42894,0,0.358056315016857,0.08432859071554678,Silvi Materials,Englishtown Plant,NJ,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,119.66666666666667,strict_group,295.0,91.33333333333333,79.06666666666668,28.333333333333343,0.23676880222841232,40.599999999999994,0.33927576601671305,True,True,True
13180,1,0.3571482106566099,0.08432859071554678,CEMEX,Port Charlotte Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,130.66666666666666,strict_group,701.0,91.66666666666667,82.66666666666667,38.999999999999986,0.29846938775510196,47.999999999999986,0.3673469387755101,True,True,True
16301,1,0.3534447227130679,0.08432859071554678,CEMEX,Zephyrhills Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,139.33333333333334,strict_group,701.0,91.66666666666667,82.66666666666667,47.66666666666667,0.34210526315789475,56.66666666666667,0.40669856459330145,True,True,True
43172,0,0.3533204598325803,0.08432859071554678,Silvi Materials,Morrisville Plant,PA,Eastern Region,filler,4000.0,4000,28.0,standard_28,118.0,strict_group,83.0,88.0,68.55,30.0,0.2542372881355932,49.45,0.4190677966101695,True,True,True
